Variable_Level Variable_Size Variable_Capacity Contribution_0 Contribution_1 Mutability_0 Mutability_1 Mutability_2 Capacity_1 Capacity_2
1 100 6 0.671 0.302 73.450 0.000 0.000 6.000 50.000
1 100 6 0.688 0.291 79.750 0.000 0.000 6.000 50.000
1 100 6 0.696 0.285 72.680 0.000 0.000 6.000 50.000
1 100 6 0.678 0.300 79.510 0.000 0.000 6.000 50.000
1 100 6 0.674 0.306 84.450 0.000 0.000 6.000 50.000
1 100 6 0.693 0.285 82.080 0.000 0.000 6.000 50.000
1 100 6 0.692 0.289 78.850 0.000 0.000 6.000 50.000
1 100 6 0.650 0.327 79.940 0.000 0.000 6.000 50.000
1 100 6 0.690 0.289 80.340 0.000 0.000 6.000 50.000
1 100 6 0.687 0.289 76.900 0.000 0.000 6.000 50.000
1 100 6 0.673 0.306 80.730 0.000 0.000 6.000 50.000
1 100 6 0.683 0.297 81.280 0.000 0.000 6.000 50.000
1 100 6 0.679 0.294 82.160 0.000 0.000 6.000 50.000
1 100 6 0.670 0.302 77.060 0.000 0.000 6.000 50.000
1 100 6 0.685 0.299 82.870 0.000 0.000 6.000 50.000
1 100 6 0.713 0.265 80.340 0.000 0.000 6.000 50.000
1 100 6 0.676 0.303 80.690 0.000 0.000 6.000 50.000
1 100 6 0.667 0.310 82.140 0.000 0.000 6.000 50.000
1 100 6 0.667 0.307 77.880 0.000 0.000 6.000 50.000
1 100 6 0.667 0.307 76.660 0.000 0.000 6.000 50.000
1 100 6 0.679 0.302 82.900 0.000 0.000 6.000 50.000
1 100 6 0.676 0.303 79.940 0.000 0.000 6.000 50.000
1 100 6 0.653 0.327 84.560 0.000 0.000 6.000 50.000
1 100 6 0.683 0.292 79.830 0.000 0.000 6.000 50.000
1 100 6 0.686 0.290 75.670 0.000 0.000 6.000 50.000
1 100 6 0.694 0.285 78.190 0.000 0.000 6.000 50.000
1 100 6 0.671 0.305 80.310 0.000 0.000 6.000 50.000
1 100 6 0.701 0.272 79.080 0.000 0.000 6.000 50.000
1 100 6 0.681 0.293 75.990 0.000 0.000 6.000 50.000
1 100 6 0.705 0.278 79.870 0.000 0.000 6.000 50.000
1 100 6 0.665 0.307 76.190 0.000 0.000 6.000 50.000
1 100 6 0.683 0.297 84.970 0.000 0.000 6.000 50.000
1 100 6 0.680 0.305 82.910 0.000 0.000 6.000 50.000
1 100 6 0.680 0.296 74.350 0.000 0.000 6.000 50.000
1 100 6 0.688 0.283 70.480 0.000 0.000 6.000 50.000
1 100 6 0.694 0.276 73.050 0.000 0.000 6.000 50.000
1 100 6 0.664 0.315 78.450 0.000 0.000 6.000 50.000
1 100 6 0.669 0.301 76.210 0.000 0.000 6.000 50.000
1 100 6 0.683 0.293 82.170 0.000 0.000 6.000 50.000
1 100 6 0.671 0.305 77.610 0.000 0.000 6.000 50.000
1 100 6 0.685 0.286 73.040 0.000 0.000 6.000 50.000
1 100 6 0.715 0.265 76.250 0.000 0.000 6.000 50.000
1 100 6 0.679 0.298 76.690 0.000 0.000 6.000 50.000
1 100 6 0.655 0.313 80.720 0.000 0.000 6.000 50.000
1 100 6 0.710 0.274 75.830 0.000 0.000 6.000 50.000
1 100 6 0.679 0.300 80.880 0.000 0.000 6.000 50.000
1 100 6 0.668 0.307 79.630 0.000 0.000 6.000 50.000
1 100 6 0.682 0.294 74.440 0.000 0.000 6.000 50.000
